feature,lgb_importance,xgb_importance,avg_importance
vix,2974,0.018278848,1487.00913942419
obv,2972,0.018213255,1486.0091066276655
dxy,2660,0.01908659,1330.0095432950184
treasury_10y,2579,0.019140571,1289.509570285678
dist_ema_50,2553,0.017809095,1276.5089045474306
hist_vol_50,2532,0.028645026,1266.014322512783
adx_14,2399,0.015635425,1199.5078177126125
hour_utc,2153,0.025991898,1076.512995949015
btc_correlation,2138,0.0,1069.0
vwap,1915,0.018905845,957.5094529222697
spx,1875,0.021918232,937.5109591158107
volume_sma,1850,0.020225605,925.010112802498
volume_std,1827,0.018575436,913.5092877177522
vol_zscore,1779,0.0147913685,889.5073956842534
vol_trend,1749,0.012026721,874.5060133603401
vol_expansion,1622,0.013076984,811.0065384921618
atr_percentile,1571,0.014280711,785.5071403556503
macd_hist,1547,0.012093214,773.5060466071591
bb_width,1537,0.012146827,768.5060734134167
atr_14,1471,0.014608202,735.5073041007854
ema_200_1h,1468,0.02246828,734.0112341400236
ema_50_1h,1437,0.01862435,718.5093121752143
hist_vol_20,1361,0.013962592,680.5069812959991
weekday,1360,0.024770934,680.0123854670674
rsi_14,1286,0.012496591,643.0062482953072
atr_ratio,1195,0.034835167,597.5174175836146
returns_4h,1098,0.011539083,549.0057695414871
keltner_width,1086,0.09278907,543.046394534409
bb_position,897,0.010370795,448.50518539734185
returns_1h,803,0.010308596,401.5051542981528
transaction_volume,770,0.0175095,385.0087547497824
high_low_range,728,0.0357412,364.017870599404
close_position,716,0.007443524,358.0037217619829
volume_zscore,685,0.009761667,342.50488083343953
volume_ratio,679,0.009219091,339.5046095456928
returns_15m,547,0.008687271,273.5043436354026
adx_14_1h,428,0.019262847,214.00963142327964
vol_regime_encoded,305,0.031074243,152.51553712133318
europe_session,223,0.036058802,111.51802940107882
asia_session,171,0.03459039,85.51729519478977
us_market_open,152,0.020568037,76.0102840187028
above_ema_200,145,0.024493279,72.51224663946778
europe_us_overlap,144,0.015394221,72.00769711052999
asia_europe_overlap,123,0.03667006,61.51833502948284
us_afterhours,112,0.017374227,56.008687113411725
us_premarket,106,0.027563244,53.01378162205219
minute_utc,96,0.005607153,48.00280357641168
us_session,95,0.022212574,47.51110628712922
is_weekend,81,0.03315341,40.51657670550048
eth_btc_ratio,0,0.0,0.0
btc_dominance,0,0.0,0.0
