feature,lgb_importance,xgb_importance,avg_importance
btc_correlation,2888,0.0159486,1444.0079742996022
dist_ema_50,2751,0.016415982,1375.508207990788
vix,2636,0.01862961,1318.0093148052692
dxy,2385,0.019108051,1192.509554025717
hist_vol_50,2361,0.016765187,1180.5083825932816
hour_utc,2313,0.022823289,1156.5114116445184
treasury_10y,2313,0.018710699,1156.5093553494662
obv,2298,0.018062752,1149.00903137587
eth_btc_ratio,2218,0.017288148,1109.0086440742016
adx_14,2204,0.014403227,1102.0072016133927
volume_std,2051,0.014843381,1025.507421690505
spx,1940,0.019372772,970.0096863862127
vwap,1764,0.017612135,882.0088060675189
vol_zscore,1743,0.0145108765,871.5072554382496
ema_200_1h,1677,0.018860798,838.5094303991646
vol_trend,1674,0.013233778,837.0066168890335
vol_expansion,1601,0.014097227,800.5070486133918
macd_hist,1569,0.012496678,784.5062483390793
volume_sma,1563,0.01939062,781.5096953101456
ema_50_1h,1544,0.017968128,772.008984063752
atr_percentile,1512,0.013885152,756.0069425757974
bb_width,1489,0.01286055,744.5064302748069
hist_vol_20,1405,0.015690489,702.5078452443704
weekday,1361,0.020556182,680.5102780908346
atr_ratio,1332,0.058743935,666.0293719675392
atr_14,1330,0.01740423,665.0087021151558
rsi_14,1248,0.012088023,624.0060440115631
returns_4h,990,0.01119188,495.0055959401652
keltner_width,979,0.13833393,489.56916696578264
bb_position,837,0.011187174,418.50559358717874
adx_14_1h,723,0.019519493,361.5097597464919
returns_1h,715,0.009117766,357.5045588831417
high_low_range,598,0.025402097,299.01270104851574
transaction_volume,575,0.01627504,287.50813752040267
volume_zscore,548,0.009232299,274.0046161497012
volume_ratio,424,0.009744553,212.0048722764477
vol_regime_encoded,380,0.026035134,190.01301756687462
close_position,333,0.0073870816,166.5036935408134
returns_15m,325,0.00783778,162.50391888990998
europe_session,239,0.033261627,119.51663081347942
above_ema_200,164,0.01972522,82.00986261013895
us_market_open,147,0.018455857,73.50922792870551
us_afterhours,143,0.020821184,71.51041059195995
asia_session,133,0.019793004,66.50989650189877
us_premarket,119,0.029999785,59.51499989256263
europe_us_overlap,104,0.016247943,52.008123971521854
us_session,104,0.015475108,52.007737554144114
asia_europe_overlap,103,0.015115292,51.50755764590576
is_weekend,75,0.021943633,37.51097181625664
minute_utc,72,0.0061266324,36.00306331622414
btc_dominance,0,0.0,0.0
