feature,lgb_importance,xgb_importance,avg_importance
btc_correlation,3009,0.016281102,1504.5081405509263
vix,2717,0.022567702,1358.5112838512287
dist_ema_50,2478,0.017087137,1239.0085435686633
treasury_10y,2400,0.01873935,1200.00936967507
dxy,2390,0.019537972,1195.0097689861432
obv,2384,0.021096177,1192.0105480886996
hist_vol_50,2365,0.016207464,1182.5081037320197
hour_utc,2308,0.026177576,1154.0130887879059
adx_14,2237,0.015047113,1118.5075235567056
eth_btc_ratio,2228,0.018324997,1114.009162498638
volume_std,1887,0.015006427,943.5075032133609
spx,1873,0.023960227,936.5119801135734
vwap,1790,0.01687505,895.0084375245497
volume_sma,1770,0.023070501,885.0115352505818
ema_200_1h,1639,0.019797614,819.5098988069221
vol_trend,1631,0.012810596,815.5064052981324
bb_width,1608,0.011717319,804.0058586592786
atr_percentile,1603,0.014945418,801.5074727088213
vol_zscore,1577,0.013165789,788.5065828943625
ema_50_1h,1566,0.018475398,783.0092376992106
macd_hist,1554,0.012350034,777.0061750169843
vol_expansion,1550,0.013209672,775.0066048358567
hist_vol_20,1535,0.01323437,767.506617185194
weekday,1451,0.025388068,725.5126940337941
rsi_14,1398,0.012148224,699.0060741119087
atr_14,1341,0.014948489,670.5074742445722
atr_ratio,1092,0.03358739,546.0167936943471
keltner_width,994,0.121999115,497.0609995573759
returns_4h,851,0.010249696,425.5051248478703
bb_position,811,0.010559296,405.5052796481177
returns_1h,704,0.008683476,352.0043417378329
high_low_range,524,0.023030885,262.01151544228196
transaction_volume,523,0.014752062,261.5073760310188
adx_14_1h,508,0.02038278,254.01019139029086
volume_ratio,499,0.009073897,249.50453694863245
close_position,497,0.007024813,248.50351240648888
volume_zscore,490,0.009977349,245.00498867454007
returns_15m,449,0.007642105,224.50382105261087
vol_regime_encoded,322,0.024786938,161.01239346899092
europe_session,281,0.040702935,140.5203514676541
europe_us_overlap,165,0.017281622,82.50864081084728
asia_session,161,0.030809041,80.51540452055633
minute_utc,130,0.0060818605,65.00304093025625
us_session,117,0.012330139,58.506165069527924
us_premarket,116,0.028455477,58.01422773860395
above_ema_200,115,0.017744604,57.508872302249074
us_market_open,114,0.018734513,57.00936725642532
is_weekend,90,0.039501347,45.01975067332387
asia_europe_overlap,81,0.013538841,40.506769420579076
us_afterhours,76,0.020899998,38.01044999901205
btc_dominance,0,0.0,0.0
