feature,lgb_importance,xgb_importance,avg_importance
adx_14_1h,2953,0.0176205,1476.5088102500886
btc_correlation,2793,0.017078646,1396.5085393227637
dist_ema_50,2582,0.017351985,1291.0086759924889
vix,2471,0.019570816,1235.5097854081541
hist_vol_50,2192,0.018825667,1096.0094128334895
adx_14,2176,0.015314748,1088.0076573737897
eth_btc_ratio,2145,0.019151445,1072.509575722739
hour_utc,2141,0.021777818,1070.5108889089897
treasury_10y,2135,0.02058273,1067.5102913649753
dxy,2116,0.020118272,1058.010059135966
volume_std,2048,0.017248113,1024.0086240563542
obv,1992,0.019688226,996.0098441131413
volume_sma,1940,0.04076711,970.0203835554421
vol_trend,1726,0.014733854,863.007366926875
vwap,1703,0.02474443,851.5123722152784
spx,1668,0.020858359,834.0104291792959
hist_vol_20,1530,0.015942374,765.0079711871222
ema_200_1h,1523,0.023268653,761.5116343265399
macd_hist,1519,0.013699384,759.5068496922031
rsi_14,1501,0.013893238,750.5069466191344
atr_14,1428,0.019892821,714.0099464105442
weekday,1402,0.022959083,701.0114795416594
atr_percentile,1367,0.015290575,683.507645287551
vol_expansion,1363,0.014352388,681.5071761938743
atr_ratio,1358,0.04410068,679.0220503397286
ema_50_1h,1332,0.022557307,666.0112786535174
vol_zscore,1282,0.015045468,641.0075227338821
bb_position,1183,0.013068279,591.5065341396257
keltner_width,1158,0.065267675,579.0326338373125
returns_4h,1044,0.012955052,522.0064775259234
returns_1h,702,0.010532845,351.00526642240584
high_low_range,683,0.017619196,341.50880959816277
bb_width,666,0.01439409,333.0071970447898
transaction_volume,575,0.016925469,287.50846273452044
volume_zscore,501,0.010510844,250.50525542208925
volume_ratio,460,0.011039873,230.0055199363269
close_position,399,0.008449461,199.50422473065555
vol_regime_encoded,354,0.029446993,177.01472349651158
europe_session,325,0.031073362,162.5155366808176
returns_15m,325,0.008679923,162.50433996133506
above_ema_200,163,0.019212022,81.50960601121187
us_afterhours,146,0.02251493,73.01125746499747
asia_session,146,0.019523697,73.00976184848696
us_premarket,145,0.035398837,72.51769941858947
europe_us_overlap,141,0.020490693,70.51024534646422
us_market_open,136,0.017792061,68.00889603048563
us_session,123,0.019568997,61.509784498251975
asia_europe_overlap,96,0.015128751,48.00756437564269
is_weekend,85,0.027461676,42.51373083796352
minute_utc,58,0.0065106004,29.003255300223827
btc_dominance,0,0.0,0.0
