feature,lgb_importance,xgb_importance,avg_importance
btc_correlation,2782,0.015199614,1391.0075998068787
dist_ema_50,2724,0.015099842,1362.0075499210507
vix,2675,0.018815968,1337.5094079840928
obv,2550,0.017176365,1275.00858818274
treasury_10y,2408,0.018651912,1204.0093259559944
hour_utc,2314,0.023163902,1157.011581950821
hist_vol_50,2280,0.015861422,1140.0079307109118
eth_btc_ratio,2254,0.016326968,1127.0081634838134
adx_14,2229,0.013962349,1114.5069811744615
dxy,2003,0.017935013,1001.5089675066993
volume_std,1888,0.013411538,944.006705768872
spx,1724,0.019438244,862.0097191222012
bb_width,1695,0.01325669,847.5066283452325
vol_zscore,1668,0.013928221,834.0069641103037
volume_sma,1649,0.014569238,824.5072846189141
vwap,1636,0.017007945,818.0085039725527
vol_expansion,1616,0.013113504,808.0065567521378
atr_percentile,1610,0.014010313,805.0070051564835
vol_trend,1602,0.012332458,801.0061662290245
macd_hist,1588,0.0123140095,794.0061570047401
ema_200_1h,1554,0.018031726,777.00901586283
hist_vol_20,1488,0.014576683,744.0072883414105
ema_50_1h,1444,0.01850119,722.0092505952343
weekday,1408,0.023029462,704.0115147307515
atr_14,1406,0.014492734,703.0072463671677
rsi_14,1341,0.011753287,670.5058766435832
atr_ratio,1215,0.04857444,607.5242872200906
keltner_width,1126,0.14342313,563.0717115625739
returns_4h,936,0.011153193,468.00557659659535
bb_position,904,0.010670834,452.0053354171105
adx_14_1h,677,0.019705676,338.5098528377712
returns_1h,671,0.009028793,335.5045143966563
high_low_range,589,0.018758824,294.50937941204756
transaction_volume,565,0.010326707,282.50516335340217
volume_zscore,547,0.009515479,273.5047577396035
volume_ratio,489,0.009878414,244.50493920687586
vol_regime_encoded,394,0.03402523,197.01701261475682
close_position,384,0.0071095736,192.0035547867883
returns_15m,367,0.007741271,183.50387063552625
europe_session,298,0.039003342,149.01950167119503
asia_session,200,0.02544082,100.01272040978074
us_session,145,0.015671035,72.50783551763743
us_afterhours,143,0.021525277,71.51076263841242
europe_us_overlap,140,0.01431094,70.0071554700844
us_market_open,132,0.014077246,66.00703862309456
us_premarket,129,0.04344007,64.52172003500164
asia_europe_overlap,119,0.012561842,59.50628092093393
above_ema_200,115,0.018590529,57.50929526425898
is_weekend,90,0.033108078,45.01655403897166
minute_utc,89,0.006398554,44.50319927698001
btc_dominance,0,0.0,0.0
